number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V15,params_V18,params_V3,params_V6,params_V9,system_attrs_fixed_params,state
64,0.0,2026-07-08 12:21:28.984938,2026-07-08 12:21:35.858094,0 days 00:00:06.873156,867.6037949952803,-766.1851791299539,99.37820059232445,93.094222377009,5.860078451453774,251.13780460478165,296.76336316291685,626.3159657123979,,COMPLETE
65,0.0,2026-07-08 12:21:35.889879,2026-07-08 12:21:41.627393,0 days 00:00:05.737514,15.861602753199065,727.5834056717657,490.87863749920916,-257.6193323686444,-75.92225362941343,112.62932367253124,-498.1863709315632,893.4703080623335,,COMPLETE
66,0.0,2026-07-08 12:21:41.657786,2026-07-08 12:21:47.068179,0 days 00:00:05.410393,592.2569268782624,986.6663104489552,-450.1019998526447,-177.2458916282155,169.45792181482983,-285.42809703359165,-308.3593599470373,806.147031948487,,COMPLETE
67,0.0,2026-07-08 12:21:47.093120,2026-07-08 12:21:53.709350,0 days 00:00:06.616230,718.9926721740039,-293.6236709502327,345.7098617010048,-61.847706042070456,-265.2327750793314,159.90575721777245,-228.19240758830517,433.55592532767497,,COMPLETE
68,0.0,2026-07-08 12:21:53.737288,2026-07-08 12:21:59.161015,0 days 00:00:05.423727,-178.9874098218785,-626.6141207581055,-253.49561319468663,138.48503832210258,-400.6170840559096,-42.49491292769713,-41.91457286003083,101.03225537088173,,COMPLETE
69,0.0,2026-07-08 12:21:59.188912,2026-07-08 12:22:04.700131,0 days 00:00:05.511219,457.7998644506708,-496.4291874790906,262.1122781536183,50.696097219315845,-207.83768812685256,323.10532921048593,128.71831843559477,584.3240604291251,,COMPLETE
70,0.0,2026-07-08 12:22:04.719570,2026-07-08 12:22:09.959187,0 days 00:00:05.239617,-95.22227351940748,-93.57031707513136,-58.2224349304921,-140.0679042710658,84.04417408943632,52.20908288005322,39.89936248165709,362.7648485863932,,COMPLETE
71,0.0,2026-07-08 12:22:09.998039,2026-07-08 12:22:14.841118,0 days 00:00:04.843079,656.9293087848487,178.42483142179358,-137.91644804103163,426.512638310572,32.700464677890864,-1.9290416934210555,-144.93557297142837,225.5314324481734,,COMPLETE
72,0.0,2026-07-08 12:22:14.871856,2026-07-08 12:22:19.374494,0 days 00:00:04.502638,279.92182031460413,-715.8992483014121,-319.8658507840927,475.5925048110448,204.7960381259267,-93.67560587872356,-447.7107596459508,-968.1130875374397,,COMPLETE
73,0.0,2026-07-08 12:22:19.409212,2026-07-08 12:22:24.086086,0 days 00:00:04.676874,-370.8328703802646,-272.12606968875025,141.73181091656434,369.22872699779674,-48.73549360647955,-56.49605615514824,-79.57559288859571,-76.3808455592316,,COMPLETE
74,0.0,2026-07-08 12:22:24.109201,2026-07-08 12:22:28.785199,0 days 00:00:04.675998,487.79232678867584,-505.64878024047727,-361.0662174219528,-2.9866648481871905,-4.746155548714398,132.80400599605233,-197.63320196250854,-640.9418918742912,,COMPLETE
75,0.0,2026-07-08 12:22:28.813312,2026-07-08 12:22:33.651784,0 days 00:00:04.838472,384.0703063185792,591.7865464453396,-206.60757917258738,462.1352326909716,153.38360461517848,221.31841576874479,92.86093401222195,-434.5413229615003,,COMPLETE
76,0.0,2026-07-08 12:22:33.683176,2026-07-08 12:22:38.493324,0 days 00:00:04.810148,757.6390977236999,846.6509536237038,45.6596627068996,346.63818513092207,278.63813211153706,-191.5511027113123,-1.935622188607559,-198.47662126251186,,COMPLETE
77,0.0,2026-07-08 12:22:38.525671,2026-07-08 12:22:44.014030,0 days 00:00:05.488359,195.4024844715334,801.3823082574254,841.4058340803565,278.00293830320595,-121.38078398987787,20.26018838825258,-357.69999648738184,-849.7290263137796,,COMPLETE
78,0.0,2026-07-08 12:22:44.051110,2026-07-08 12:22:49.375203,0 days 00:00:05.324093,830.9561021337622,-393.0331184371303,600.4689780588405,310.53093682539304,92.93881077621171,85.94495555739391,445.86067443454476,-289.11333159484957,,COMPLETE
79,0.0,2026-07-08 12:22:49.422691,2026-07-08 12:22:54.396584,0 days 00:00:04.973893,314.96157306700843,489.2527590621043,-452.8880626923911,-65.30798285490243,-176.50515295819474,268.5980896865231,-389.2634300122238,-667.5977354669454,,COMPLETE
80,0.0,2026-07-08 12:22:54.433585,2026-07-08 12:22:59.374225,0 days 00:00:04.940640,984.9950381578126,922.5128487174445,-673.0489469427964,-318.2261185811162,22.08081763902151,-11.645205609404655,-465.35836566101995,319.3611721440385,,COMPLETE
81,0.0,2026-07-08 12:22:59.417284,2026-07-08 12:23:04.622120,0 days 00:00:05.204836,127.74581515434159,-875.9165345375395,-45.218262624974656,-496.7300428092303,58.386273988466456,194.71893917386706,-258.97234782113946,42.21174086132197,,COMPLETE
82,0.0,2026-07-08 12:23:04.652694,2026-07-08 12:23:09.696834,0 days 00:00:05.044140,36.734567796849035,-687.2987716304403,403.6332809907178,425.99520406752737,336.67677480750467,113.20655654290438,-114.23772626870132,103.30340295465155,,COMPLETE
83,0.0,2026-07-08 12:23:09.720490,2026-07-08 12:23:14.628682,0 days 00:00:04.908192,-256.95196258196813,-745.5393597914066,-90.87823394288766,-464.5350806098027,258.8761547382909,70.64292513507027,-324.35320489011946,145.1173649420584,,COMPLETE
84,0.0,2026-07-08 12:23:14.664748,2026-07-08 12:23:19.697260,0 days 00:00:05.032512,97.27648068103986,-804.9405872995635,0.01895773888987229,-411.68988132676424,118.59189676318618,173.88976977357666,52.60796517548653,-156.66387234466953,,COMPLETE
85,0.0,2026-07-08 12:23:19.720285,2026-07-08 12:23:24.641550,0 days 00:00:04.921265,217.60686266483964,-637.3836109485544,-162.79302953638182,498.2347661617419,190.73105385561442,219.2718942985683,-426.11879907624746,-536.8347945788686,,COMPLETE
86,0.0,2026-07-08 12:23:24.670308,2026-07-08 12:23:29.780742,0 days 00:00:05.110434,-53.57148162389666,28.062751699341504,-836.6767146723517,-346.46365862831294,58.40392989104862,-486.64014021043533,202.7680551612048,-45.685688062431524,,COMPLETE
87,0.0,2026-07-08 12:23:29.807213,2026-07-08 12:23:35.246733,0 days 00:00:05.439520,-137.5924546875066,-954.4038920177908,683.7456206192902,-237.47279577269586,433.8898603324222,26.32760335377074,-216.33338325727726,-127.12456480917206,,COMPLETE
88,0.0,2026-07-08 12:23:35.269636,2026-07-08 12:23:40.948727,0 days 00:00:05.679091,11.009361752916789,684.2800120203018,54.20546996479868,391.68107049633466,-83.97260622890097,-409.2827001473495,-179.57929387653277,214.52562753855676,,COMPLETE
89,0.0,2026-07-08 12:23:40.983775,2026-07-08 12:23:46.295273,0 days 00:00:05.311498,394.38880452687584,-998.7761484874367,-562.5080183329687,-427.39742034148156,303.22045001121455,54.6958859717383,-66.07484001404805,-326.4171605810159,,COMPLETE
90,0.0,2026-07-08 12:23:46.330346,2026-07-08 12:23:52.134571,0 days 00:00:05.804225,693.8240022699141,-446.29684662145536,-263.48137266266286,211.2168111016979,130.13165686008506,-27.900874787852814,-140.0130458058165,264.2485351013018,,COMPLETE
91,0.0,2026-07-08 12:23:52.164978,2026-07-08 12:23:58.522044,0 days 00:00:06.357066,-208.23159471681106,-134.451361397892,-649.5844739716023,-466.7497597429224,-450.5071712673407,-242.9821423609758,78.90064373257324,-342.3079397378273,,COMPLETE
92,0.0,2026-07-08 12:23:58.556809,2026-07-08 12:24:04.372841,0 days 00:00:05.816032,-524.5474360004108,-348.85299391115694,-753.7510889391697,-393.4661107953292,-323.9165306786397,-168.3667768843267,16.45172223381061,-238.86094688132553,,COMPLETE
93,0.0,2026-07-08 12:24:04.399474,2026-07-08 12:24:10.603275,0 days 00:00:06.203801,-731.8345841779594,-575.4053928286188,-796.6954259118293,-308.5009863294034,-357.25751247717875,-266.7907346049485,-36.649345439992864,-424.25549166502265,,COMPLETE
