V3,V6,V9,V10,V11,V12,V15,V18,distance_mm,hits,n_recorded,phase
-745.8575351381726,53.3050366711916,857.2535949354992,990.1981291449922,426.36085602860294,-439.19107323908156,-230.7002203489061,549.8130838164748,323.45150175710046,0,500,initial
-19.775138727504213,-982.0758358722135,900.2262596749683,292.1122740988827,284.75981031842485,-10.74441169938359,-305.36389292177546,-811.3639257094524,255.57292171831162,10,500,initial
-64.00465426384778,-444.9784169341067,951.2259521120191,281.61542189975125,290.7535242399763,-18.19259051496283,-92.81253278111649,-990.9678142874911,265.08615531714787,0,500,initial
92.22888402635817,-842.4513627938217,889.8129533794896,209.74973032656786,330.5648927358618,-90.38689063079767,-267.0688733951331,-621.260966479834,263.72851575519064,2,500,initial
-412.5199978534811,-648.1564001661354,814.0040797003919,150.92218687178698,211.97028025882676,-134.57194242302967,172.79559092074965,-836.5776058092071,307.26792578485146,0,500,initial
-15.748272546609996,299.9306713614517,642.7170539324065,74.49785537687384,985.3451353373819,-0.42080487423663726,36.19820402006326,-772.1189781860344,338.847666444466,0,500,initial
107.28478740890773,-869.1766662920663,958.055361572599,188.6457257098754,504.35038347285365,-278.08382858896675,336.49687004280804,-561.8790709114671,323.6576014710715,0,500,initial
-194.53104060342184,723.4315187484074,832.3779850228782,319.61317003501733,136.55222243199336,-548.2464549075191,891.8695024578121,-415.88069981031856,342.9842774933302,0,500,initial
234.79368637218772,-230.97760562527742,999.1301119689833,3.771762918389328,266.3723323374472,-211.84225954303088,-740.8049386304576,-200.34376130731073,297.78079682720266,0,500,initial
509.45278123340063,-41.97400895459839,890.5003128634205,259.1602953766232,63.081448872453954,-50.875253469842505,-402.8755064571759,200.56125781186574,412.64748719202584,0,500,initial
-332.35186082542464,142.9363268050688,81.93042136935628,339.17851065009177,391.39186643949495,-993.4580497088492,-907.5256962952192,-260.28308599909803,322.6229054747404,0,500,initial
-125.0417671371207,-945.5257361168713,893.7495885870667,409.05578085755053,283.03267191008115,-459.71568629705394,-219.30710651913728,-647.1796896050122,331.04037569986264,0,500,initial
-262.93647174156786,-981.0509943601191,966.7639299263672,283.69160999682214,193.84514487105236,-543.7782060491232,-357.2990631418877,-715.2262301129988,299.1015144251585,4,500,initial
-68.71232851739205,-863.4049082497477,958.4470951191315,781.944033016279,182.36322242875406,-524.4604529328295,-331.8811765161463,-901.4734345799591,333.5708681042938,0,500,initial
-460.5921078717587,-778.1585285896131,924.1830557673338,147.43187107624777,107.7395714203191,-577.8911325692302,-20.360003202754797,-769.371484994829,199.43048648434487,19,500,initial
-536.406498869419,-753.2233842509338,340.36676920995774,216.6051802989428,114.47611386651865,-747.13566639375,-9.938452974675215,-997.8422814457145,264.2364089633606,10,500,initial
-762.2065486526226,-808.4511906459558,410.7153242423284,318.8986702623717,13.376319509640894,-859.4727177528528,-25.788847898818517,-959.8471866493534,319.2717597242227,0,500,initial
-554.0197769168531,-988.0162453136222,299.6799179847394,209.17600541889385,94.63142690334594,-731.865976971927,160.2368315264116,-789.9718687592273,243.2175831779121,8,500,initial
-500.9755224647038,-661.6230269796005,266.6160512662502,130.64393317838113,86.42144935698275,-760.7539791610399,130.73248273290847,-784.4547616389893,222.47842609576514,10,500,initial
-875.2718266598977,-689.4040656704658,291.8021402302831,136.58165880036694,94.64161087871852,-753.4081282072173,116.96295839690856,-805.4994167933298,199.80745513806554,0,500,initial
-516.2969382731497,-774.2509452392075,312.80187908410346,507.0209389370451,29.555652943957,-848.3141702769782,344.95277788247154,-999.6092639465321,325.0255611194257,0,500,initial
-663.6569950665953,-907.6333047952816,192.0416549941543,213.30405303430388,53.53700741312893,-895.0693130867905,80.67210957513589,-876.3595015308248,267.2387996001779,0,500,initial
-441.9956219452216,-600.0053071150481,398.0442187825652,201.31886106940146,155.71742798111015,-740.630432386799,265.85109043504485,-765.76621427704,271.32837889661033,5,500,initial
-554.7466767999098,-595.3833716189902,383.0067396653168,264.0381293711276,152.50014689737841,-733.5388290296451,256.8769983529519,-788.4129014099112,277.3243492268977,0,500,initial
-683.1402423655153,-615.8738042480721,470.7655270404339,229.57286154894064,0.8939866779696786,-812.1739027556436,435.1070686572857,-929.8151624548848,283.05725754087723,0,500,initial
-456.21473650770065,972.0582898801085,334.5798305604797,125.50215438935678,117.45433736368753,-658.7048969622286,206.3657890256029,-753.2586800770455,301.69146073611,0,500,initial
-900.7969587244828,-533.661484315171,236.991944623711,51.96278761092864,93.71611444946231,-701.1964046697897,-13.719500008793716,-592.2337598847189,4.602367662494511,0,500,initial
-402.6186706465595,-763.0831186559658,185.6518533414022,200.52177072162726,161.1480066018828,-888.6165233662265,121.41583460001948,-870.4265138728044,296.78957296655193,6,500,initial
-380.31057713168184,-777.2354329408156,125.48563763645149,382.0121309592664,39.93004640980506,-948.2199242465347,-143.93553388555074,-876.2647955287451,326.8590573226766,0,500,initial
